Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
"When Love Hurts: How To Handle Verbal Abuse, Codependency and Emotional Blackmailing","2,813,686","2,000.00",Michelle Moore,Paperback,1544924127, 1544924127, 978-1544924120,https://www.amazon.co.uk/When-Love-Hurts-Codependency-Blackmailing/dp/1544924127/ref=sr_1_16/261-2537990-3203828?s=books&ie=UTF8&qid=1540621888&sr=1-16&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"Guia practica para tener bebes tranquilos y felices / The Baby Whisperer Solves All Your Problems: El sueno, la alimentacion y la conducta-- Una guia ... the Basics from Infancy Through Toddlerhood","9,615,985","2,000.00",Tracy Hogg,Paperback,8498674972, 8498674972, 978-8498674972,https://www.amazon.co.uk/practica-tranquilos-felices-Whisperer-Problems/dp/8498674972/ref=sr_1_48?s=books&ie=UTF8&qid=1540621914&sr=1-48&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
[(Warriors of the Rainbow: A Chronicle of the Greenpeace Movement from 1971 to 1979 )] [Author: Robert Hunter] [Mar-2012],"6,870,466","1,999.00",Robert Hunter,Paperback,B00L76O0NE,Not available,Not available,https://www.amazon.co.uk/Warriors-Rainbow-Chronicle-Greenpeace-Movement/dp/B00L76O0NE/ref=sr_1_192?s=books&ie=UTF8&qid=1540622063&sr=1-192&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
[( Almshouses )] [by: Anna Hallett] [Mar-2008],"7,685,380","1,999.98",Anna Hallett,Paperback,B00FBHYGXO,Not available,Not available,https://www.amazon.co.uk/Almshouses-Anna-Hallett-Mar-2008/dp/B00FBHYGXO/ref=sr_1_352?s=books&ie=UTF8&qid=1540622238&sr=1-352&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"(HOW CHILDREN LEARN (REV)) BY Paperback (Author) Paperback Published on (09 , 1995)","8,118,958","2,000.00",No Author Specified!!,Paperback,B0068HVOYA,Not available,Not available,https://www.amazon.co.uk/CHILDREN-LEARN-Paperback-Author-Published/dp/B0068HVOYA/ref=sr_1_368?s=books&ie=UTF8&qid=1540622255&sr=1-368&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Gaybonics,"9,636,932","2,000.00",Monte Tyler Kingstone,Paperback,1930916620, 1930916620, 978-1930916623,https://www.amazon.co.uk/Gaybonics-Monte-Tyler-Kingstone/dp/1930916620/ref=sr_1_480?s=books&ie=UTF8&qid=1540622374&sr=1-480&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Using Microsoft FrontPage 2003,"9,730,027","2,000.00",D. Weale,Paperback,085934553X, 085934553X, 978-0859345538,https://www.amazon.co.uk/Using-Microsoft-FrontPage-2003-Weale/dp/085934553X/ref=sr_1_1056?s=books&ie=UTF8&qid=1540622996&sr=1-1056&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Herbal Drug Dangers,"7,952,625","2,000.00",Judy Monroe,Paperback,0766019640, 0766019640, 978-0766019645,https://www.amazon.co.uk/Herbal-Drug-Dangers-Judy-Monroe/dp/0766019640/ref=sr_1_1168?s=books&ie=UTF8&qid=1540623110&sr=1-1168&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Patterns in Nature (Math All Around),"9,466,896","2,000.00",Jennifer Rozines Roy,Paperback,0761434070, 0761434070, 978-0761434078,https://www.amazon.co.uk/Patterns-Nature-Math-All-Around/dp/0761434070/ref=sr_1_1180?s=books&ie=UTF8&qid=1540623128&sr=1-1180&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Te Puea: A Biography,"6,823,157","2,000.00",Michael King,Paperback,0790008793, 0790008793, 978-0790008790,https://www.amazon.co.uk/Te-Puea-Biography-Michael-King/dp/0790008793/ref=sr_1_1135?s=books&ie=UTF8&qid=1540623076&sr=1-1135&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"Song Sheets to Software: A Guide to Print Music, Software, and Web Sites for Musicians","9,490,037","2,000.00",Elizabeth C. Axford,Paperback,0810840723, 0810840723, 978-0810840720,https://www.amazon.co.uk/Song-Sheets-Software-Guide-Musicians/dp/0810840723/ref=sr_1_1116?s=books&ie=UTF8&qid=1540623060&sr=1-1116&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
VOIC LIT GOLD-STD JOUR STNDRDS: A Standards-Based ESL Program,"4,893,100","2,000.00",Mary Lou McCloskey,Paperback,0838422969, 0838422969, 978-0838422960,https://www.amazon.co.uk/VOIC-GOLD-STD-JOUR-STNDRDS-Standards-Based/dp/0838422969/ref=sr_1_1078?s=books&ie=UTF8&qid=1540623027&sr=1-1078&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Careers in Accounting (VGM Professional Careers Series),"5,955,944","2,000.00",Gloria L. Gaylord,Paperback,0844281417, 0844281417, 978-0844281414,https://www.amazon.co.uk/Careers-Accounting-VGM-Professional/dp/0844281417/ref=sr_1_1064?s=books&ie=UTF8&qid=1540623010&sr=1-1064&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
The Communist Party In Power: A Profile Of Party Politics In Czechoslovakia (Westview Special Studies on the Soviet Union and Eastern Eur),"6,554,200","2,000.00",Karel Kaplan,Paperback,0865318239, 0865318239, 978-0865318236,https://www.amazon.co.uk/Communist-Party-Power-Politics-Czechoslovakia/dp/0865318239/ref=sr_1_1053?s=books&ie=UTF8&qid=1540622996&sr=1-1053&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Christian Morality and You: Tchrs': Right and Wrong in an Age of Freedom,"9,173,402","2,000.00",James Finley,Paperback,0877933111, 0877933111, 978-0877933113,https://www.amazon.co.uk/Christian-Morality-You-Tchrs-Freedom/dp/0877933111/ref=sr_1_1021?s=books&ie=UTF8&qid=1540622961&sr=1-1021&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
English as a second/foreign language: From theory to practice,"8,728,397","2,000.00",Mary Bonomo Finocchiaro,Paperback,0883456710, 0883456710, 978-0883456712,https://www.amazon.co.uk/English-second-foreign-language-practice/dp/0883456710/ref=sr_1_1004?s=books&ie=UTF8&qid=1540622946&sr=1-1004&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Ten Biggest Mistakes Field Sales Managers Make,"9,865,682","2,000.00",Porter J. Henry,Paperback,0898460077, 0898460077, 978-0898460070,https://www.amazon.co.uk/Biggest-Mistakes-Field-Sales-Managers/dp/0898460077/ref=sr_1_971?s=books&ie=UTF8&qid=1540622910&sr=1-971&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Title: Play and Learn from Two to Three Years,"9,081,226","2,000.00",Don Adcock,Paperback,091639252X, 091639252X, 978-0916392529,https://www.amazon.co.uk/Title-Play-Learn-Three-Years/dp/091639252X/ref=sr_1_956?s=books&ie=UTF8&qid=1540622891&sr=1-956&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
"Words in a Corner: Studies in Montaigne's Latin Quotations (French Forum Monographs, 26)","4,483,375","2,000.00",Mary B. McKinley,Paperback,0917058259, 0917058259, 978-0917058257,https://www.amazon.co.uk/Words-Corner-Montaignes-Quotations-Monographs/dp/0917058259/ref=sr_1_952?s=books&ie=UTF8&qid=1540622891&sr=1-952&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Delivery and deficiency: Health and health care in Tibet,"9,929,698","2,000.00",No Author Specified!!,Paperback,0954196139, 0954196139, 978-0954196134,https://www.amazon.co.uk/Delivery-deficiency-Health-health-Tibet/dp/0954196139/ref=sr_1_918?s=books&ie=UTF8&qid=1540622859&sr=1-918&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
How to Get an Athletic Scholarship: A Student-Athlete's Guide to Collegiate Athletics,"9,192,791","2,000.00",Whitney Minnis,Paperback,096451530X, 096451530X, 978-0964515307,https://www.amazon.co.uk/How-Get-Athletic-Scholarship-Student-Athletes/dp/096451530X/ref=sr_1_901?s=books&ie=UTF8&qid=1540622841&sr=1-901&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
Flyboy: The All-True Adventures of a NASA Space-Chimp,"9,220,619","2,000.00",Andrew Rosenstein,Paperback,097588252X, 097588252X, 978-0975882528,https://www.amazon.co.uk/Flyboy-All-True-Adventures-NASA-Space-Chimp/dp/097588252X/ref=sr_1_871?s=books&ie=UTF8&qid=1540622802&sr=1-871&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A199900-200000
